#{"t_start": 1635735675.2959702, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,4.387902
0.0,1,4.426595
-50.0,50,5.194532
-50.0,50,6.047482
-50.0,50,6.877588
-50.0,50,7.989676
-50.0,50,9.127009
-50.0,50,10.47647
-50.0,50,11.862443
-50.0,50,13.46256
-50.0,50,15.188261
-50.0,50,17.204393
-50.0,50,19.387311
-50.0,50,21.108155
-50.0,50,22.859522
-50.0,50,24.565979
-50.0,50,26.410296
-50.0,50,28.111165
-50.0,50,29.814149
-50.0,50,31.572517
-50.0,50,33.322862
-50.0,50,35.280138
-50.0,50,36.91244
-50.0,50,38.660784
-50.0,50,40.540449
-50.0,50,42.345222
-50.0,50,44.248659
-50.0,50,46.198549
-50.0,50,48.13804
-50.0,50,49.831902
-50.0,50,51.565393
-50.0,50,53.447992
-50.0,50,55.203537
-6.0,7,55.514187
-50.0,50,57.429019
-50.0,50,59.262566
-50.0,50,60.967112
-50.0,50,62.871686
-50.0,50,64.712267
-50.0,50,66.739093
-50.0,50,68.646659
-50.0,50,70.528568
-50.0,50,72.463176
-50.0,50,74.434597
-50.0,50,76.310142
-50.0,50,78.183088
-50.0,50,80.03601
-50.0,50,82.133951
-50.0,50,83.995492
-50.0,50,85.900861
-50.0,50,87.808305
-50.0,50,89.750778
-50.0,50,91.895664
-50.0,50,93.800263
-50.0,50,95.649222
-50.0,50,97.375425
-1.0,2,97.467005
-50.0,50,99.169653
-50.0,50,100.860579
-5.0,6,101.082014
-50.0,50,102.882354
-50.0,50,104.728243
-50.0,50,106.521624
-50.0,50,108.367342
-50.0,50,109.93813
-50.0,50,111.788443
-50.0,50,113.700947
-50.0,50,115.583129
-50.0,50,117.603405
-50.0,50,119.523086
-4.0,5,119.742692
-50.0,50,121.706429
-50.0,50,123.44656
-50.0,50,125.235548
-50.0,50,127.27546
-50.0,50,129.222609
-50.0,50,131.047175
-50.0,50,132.896936
-50.0,50,134.716689
-50.0,50,136.569654
-50.0,50,138.598852
-50.0,50,140.477028
-50.0,50,142.38228
-50.0,50,144.24651
-50.0,50,146.207842
-50.0,50,148.150964
-50.0,50,164.96471
-50.0,50,166.920922
-50.0,50,168.876984
-50.0,50,170.834975
-11.0,12,171.246542
-50.0,50,173.137716
-50.0,50,175.007659
-50.0,50,176.737058
-50.0,50,178.559403
0.0,1,178.617539
0.0,1,178.670947
-27.0,28,179.811765
-50.0,50,181.841474
-50.0,50,183.854173
-50.0,50,185.631181
0.0,1,185.669177
-50.0,50,187.631888
-50.0,50,189.546956
-28.0,29,190.732934
-50.0,50,192.660127
-50.0,50,194.658562
-50.0,50,196.66905
-1.0,2,196.760886
-50.0,50,198.592671
-50.0,50,200.557593
-12.0,13,201.087753
-50.0,50,203.039002
-50.0,50,205.013898
-50.0,50,206.967071
-50.0,50,209.080592
-50.0,50,211.000001
-50.0,50,212.741989
-50.0,50,214.755793
-50.0,50,216.715521
-50.0,50,218.7807
-50.0,50,220.723204
-50.0,50,222.675619
-50.0,50,224.601743
-50.0,50,226.545871
-9.0,10,226.896821
-50.0,50,228.757135
-50.0,50,230.521692
-50.0,50,232.328795
-50.0,50,234.295423
-50.0,50,236.24897
0.0,1,236.308329
-50.0,50,238.310575
-50.0,50,240.179338
-50.0,50,242.021542
-50.0,50,243.890742
-50.0,50,245.815406
-50.0,50,247.686751
-50.0,50,249.575096
-50.0,50,251.557781
-50.0,50,253.544996
-50.0,50,255.294153
-50.0,50,257.085577
-50.0,50,258.849112
-50.0,50,260.651083
-50.0,50,262.509632
-50.0,50,264.496927
-50.0,50,266.449687
-50.0,50,268.33169
-50.0,50,270.161016
0.0,1,270.218281
-50.0,50,272.119147
-50.0,50,273.951226
0.0,1,274.000479
-5.0,6,274.252711
-50.0,50,276.244478
-50.0,50,278.142818
0.0,1,278.167113
-50.0,50,279.883362
0.0,1,279.913469
-50.0,50,281.803575
0.0,1,281.852693
-50.0,50,283.781767
-50.0,50,285.610704
0.0,1,285.645826
-50.0,50,287.343412
-50.0,50,289.302367
-50.0,50,291.344377
-50.0,50,293.228702
-50.0,50,295.076332
0.0,1,295.115004
-50.0,50,297.190652
-50.0,50,299.200566
-50.0,50,301.109507
-6.0,7,301.362025
-50.0,50,303.38705
-50.0,50,305.190356
-50.0,50,307.101959
-50.0,50,309.046899
-50.0,50,311.06916
-50.0,50,313.090677
-50.0,50,314.995488
-50.0,50,316.790811
-6.0,7,317.055948
-50.0,50,318.913525
-50.0,50,331.279308
-50.0,50,333.239437
-50.0,50,335.159254
-50.0,50,337.041857
-50.0,50,339.013348
-50.0,50,341.023516
-50.0,50,343.070333
-50.0,50,344.840163
-50.0,50,346.788062
-50.0,50,348.613697
-50.0,50,350.407218
-50.0,50,352.27862
-50.0,50,354.060546
-50.0,50,355.989969
-50.0,50,357.940133
-50.0,50,359.973049
-50.0,50,361.877482
-50.0,50,363.716716
-50.0,50,365.493236
-50.0,50,367.268279
-50.0,50,369.081747
-50.0,50,370.980783
0.0,1,371.031326
-50.0,50,373.136821
-50.0,50,375.057532
-50.0,50,376.922436
-50.0,50,378.840618
-50.0,50,380.892599
-50.0,50,382.947308
-50.0,50,384.827596
-50.0,50,386.673407
-50.0,50,388.825601
-50.0,50,390.881969
-50.0,50,392.766216
-50.0,50,394.740187
-50.0,50,396.805146
-50.0,50,398.976595
-50.0,50,400.857766
-50.0,50,402.843529
-50.0,50,404.867359
-50.0,50,406.691213
-50.0,50,408.516917
-50.0,50,410.59098
-50.0,50,412.309265
0.0,1,412.349988
-50.0,50,414.159865
-50.0,50,415.94194
-50.0,50,417.737458
-50.0,50,419.623872
0.0,1,419.667307
-50.0,50,421.462154
-50.0,50,423.270811
-50.0,50,425.277574
-50.0,50,427.250062
-50.0,50,429.040537
-50.0,50,430.898819
-50.0,50,432.904239
-50.0,50,434.82005
-50.0,50,436.748189
0.0,1,436.792671
-50.0,50,438.52741
-50.0,50,440.487164
-50.0,50,442.46403
-50.0,50,444.310891
-50.0,50,446.349244
-50.0,50,448.524744
-50.0,50,450.495573
-50.0,50,452.425284
-50.0,50,454.298523
-50.0,50,456.09472
-50.0,50,458.118744
-50.0,50,459.897633
-50.0,50,461.563372
0.0,1,461.601555
-50.0,50,463.451345
-50.0,50,465.296995
-50.0,50,467.304675
-50.0,50,469.236719
-50.0,50,470.950869
-50.0,50,472.875341
-50.0,50,474.658513
-50.0,50,476.528555
-50.0,50,478.514606
-50.0,50,480.498881
-50.0,50,482.323997
-50.0,50,484.303797
-50.0,50,486.203154
-50.0,50,498.558686
-50.0,50,500.502325
-50.0,50,502.241553
-8.0,9,502.640058
-50.0,50,504.737623
-50.0,50,506.7709
0.0,1,506.806589
-50.0,50,508.879275
-50.0,50,510.694516
-50.0,50,512.669207
0.0,1,512.713977
-50.0,50,514.580783
-50.0,50,516.495924
-50.0,50,518.424189
-3.0,4,518.583032
-50.0,50,520.407065
-50.0,50,522.327729
-50.0,50,524.279419
-50.0,50,526.158529
-50.0,50,528.053432
-50.0,50,530.058361
-50.0,50,532.003475
-50.0,50,533.901649
-50.0,50,535.78261
-50.0,50,537.447442
-50.0,50,539.380404
-50.0,50,541.272812
-50.0,50,543.190214
-50.0,50,545.15356
-50.0,50,547.112069
-50.0,50,549.142634
0.0,1,549.179285
-50.0,50,551.166994
-50.0,50,553.310223
-50.0,50,555.281863
-3.0,4,555.437776
-50.0,50,557.384738
-50.0,50,559.197952
-50.0,50,560.963934
-50.0,50,563.075414
-50.0,50,565.07837
-50.0,50,567.200662
-50.0,50,569.02938
-50.0,50,570.794822
-50.0,50,572.611988
-50.0,50,574.402627
-50.0,50,576.261553
-50.0,50,578.106638
-50.0,50,580.033951
-50.0,50,581.959712
-50.0,50,583.935598
-16.0,17,584.571876
-50.0,50,586.529268
-50.0,50,588.297074
-50.0,50,590.214772
-50.0,50,592.145474
0.0,1,592.17954
-50.0,50,594.208193
-50.0,50,596.063047
-50.0,50,597.854259
-50.0,50,599.586707
-50.0,50,601.28705
-50.0,50,603.20708
-50.0,50,605.070228
-50.0,50,607.050014
-50.0,50,608.973762
-50.0,50,610.885357
0.0,1,610.950074
-50.0,50,612.873963
0.0,1,612.931525
-16.0,17,613.631803
-50.0,50,615.634032
-50.0,50,617.554714
-50.0,50,619.34696
0.0,1,619.387199
0.0,1,619.43065
-5.0,6,619.685877
-50.0,50,621.802648
-50.0,50,623.665622
-50.0,50,625.594683
-50.0,50,627.332803
-50.0,50,629.241521
-50.0,50,631.161354
-50.0,50,632.966763
-50.0,50,635.129126
-50.0,50,637.162398
-50.0,50,638.957259
-50.0,50,640.836968
-50.0,50,642.79853
-50.0,50,644.733212
-50.0,50,646.706347
-50.0,50,648.536803
-50.0,50,650.314037
-50.0,50,652.222464
-50.0,50,653.972167
-50.0,50,667.568019
-50.0,50,669.415953
-50.0,50,671.301699
-50.0,50,673.11347
-50.0,50,675.005459
-50.0,50,676.990414
-50.0,50,679.021677
-50.0,50,680.942002
-50.0,50,682.85882
-50.0,50,684.759712
-50.0,50,686.642274
-50.0,50,688.482343
-50.0,50,690.512301
0.0,1,690.569773
-50.0,50,692.517808
-50.0,50,694.417848
-50.0,50,696.228756
0.0,1,696.270548
-50.0,50,698.082261
-50.0,50,699.908275
-50.0,50,701.884715
-50.0,50,703.657789
-50.0,50,705.506912
-50.0,50,707.185844
-38.0,39,708.525625
-50.0,50,710.27138
-50.0,50,712.109174
-16.0,17,712.697567
-50.0,50,714.612584
-50.0,50,716.448936
0.0,1,716.489112
-50.0,50,718.363309
-50.0,50,720.289865
0.0,1,720.338014
-50.0,50,722.232534
-50.0,50,724.038193
-3.0,4,724.177258
-50.0,50,726.040175
-50.0,50,727.822993
-50.0,50,729.603406
-50.0,50,731.331764
-50.0,50,733.224126
-50.0,50,735.142942
0.0,1,735.174151
-50.0,50,737.008961
0.0,1,737.049762
-50.0,50,738.925284
-50.0,50,740.679742
-50.0,50,742.648406
0.0,1,742.696087
-50.0,50,744.543734
-50.0,50,746.403753
-50.0,50,748.326923
-50.0,50,750.252534
-50.0,50,752.150767
-50.0,50,754.10774
-50.0,50,756.253331
-50.0,50,758.314974
-3.0,4,758.476802
-50.0,50,760.430522
-50.0,50,762.552464
-50.0,50,764.355683
-50.0,50,766.237684
-50.0,50,768.300686
-50.0,50,770.175118
-50.0,50,772.212648
-50.0,50,773.997247
0.0,1,774.048073
-50.0,50,775.930542
-50.0,50,777.878623
-50.0,50,779.816304
-50.0,50,781.61739
-50.0,50,783.482415
-50.0,50,785.206694
0.0,1,785.232882
-50.0,50,787.091635
-50.0,50,789.074112
-50.0,50,790.864142
-50.0,50,792.860614
-7.0,8,793.190538
-50.0,50,794.989187
-50.0,50,796.895407
-50.0,50,798.738429
-50.0,50,800.70026
-50.0,50,802.550159
-50.0,50,804.520367
-50.0,50,806.431323
-50.0,50,808.215784
-50.0,50,810.145869
-50.0,50,811.932867
-50.0,50,813.844791
-50.0,50,815.882604
-13.0,14,816.420712
-50.0,50,818.26977
-50.0,50,820.100229
-50.0,50,832.637318
-50.0,50,834.559577
-50.0,50,836.610926
-50.0,50,838.600537
-7.0,8,838.902839
-50.0,50,840.849653
-50.0,50,842.786843
-50.0,50,844.682999
