#{"t_start": 1635735674.6279814, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,5.056573
-50.0,50,5.825418
-50.0,50,6.679443
-50.0,50,7.501693
-50.0,50,8.605521
-50.0,50,9.755106
-50.0,50,11.10681
-50.0,50,12.459039
-50.0,50,14.068726
-6.0,7,14.370172
-50.0,50,16.113065
-50.0,50,18.119205
-50.0,50,20.31041
-50.0,50,22.055633
-50.0,50,23.751231
-50.0,50,25.505303
-50.0,50,27.303787
-50.0,50,28.985248
0.0,1,29.029172
-50.0,50,30.8139
-50.0,50,32.54329
-50.0,50,34.284346
-50.0,50,36.210462
-50.0,50,37.825343
-50.0,50,39.597522
-50.0,50,41.506754
-50.0,50,43.2597
-50.0,50,45.206287
-50.0,50,47.141835
-50.0,50,49.126501
-50.0,50,50.757229
-50.0,50,52.475324
-50.0,50,54.428637
-50.0,50,56.169522
-50.0,50,58.075658
-50.0,50,59.908071
0.0,1,59.967038
-50.0,50,61.664809
-50.0,50,63.560738
-50.0,50,65.410715
-50.0,50,67.429522
-50.0,50,69.340012
-50.0,50,71.219715
-50.0,50,73.175233
-50.0,50,75.145824
-50.0,50,77.003654
-50.0,50,78.877131
-50.0,50,80.747046
-50.0,50,82.831828
-50.0,50,84.696358
-50.0,50,86.602838
-50.0,50,88.510387
-50.0,50,90.450228
-50.0,50,92.600174
-50.0,50,94.495134
-50.0,50,96.339691
0.0,1,96.383229
-50.0,50,98.124622
-50.0,50,99.827072
-3.0,4,99.974613
-50.0,50,101.667839
-50.0,50,103.467489
-50.0,50,105.310348
-50.0,50,107.113862
-50.0,50,108.958942
-50.0,50,110.525677
0.0,1,110.561932
-50.0,50,112.384709
-50.0,50,114.295613
-50.0,50,116.205553
-50.0,50,118.209965
-50.0,50,120.145462
-50.0,50,122.116001
-50.0,50,123.891752
-50.0,50,125.612151
-50.0,50,127.653001
-50.0,50,129.602493
0.0,1,129.643996
-50.0,50,131.532645
-50.0,50,133.354097
-50.0,50,135.216982
-50.0,50,137.041696
-50.0,50,139.060285
-50.0,50,140.946319
-50.0,50,142.870589
-50.0,50,144.686733
-50.0,50,146.649529
-50.0,50,148.609968
-50.0,50,165.492436
0.0,1,165.517922
-50.0,50,167.423993
-50.0,50,169.406871
-50.0,50,171.313946
-50.0,50,173.159245
-50.0,50,175.052812
-50.0,50,176.84185
-50.0,50,178.61397
-50.0,50,180.615446
-50.0,50,182.680912
-50.0,50,184.686223
0.0,1,184.730159
-50.0,50,186.48648
-50.0,50,188.425706
-50.0,50,190.368937
-50.0,50,192.348948
-50.0,50,194.347387
-50.0,50,196.355626
-50.0,50,198.24909
-50.0,50,200.11015
-50.0,50,202.215811
-2.0,3,202.342669
-50.0,50,204.202196
-50.0,50,206.168752
-50.0,50,208.220897
-2.0,3,208.315966
-50.0,50,210.340679
-50.0,50,212.224667
-50.0,50,214.081845
-50.0,50,216.050393
-50.0,50,218.124684
0.0,1,218.160321
-50.0,50,220.127143
-50.0,50,222.023789
-50.0,50,223.986997
-50.0,50,225.910378
0.0,1,225.951106
-50.0,50,227.844992
-50.0,50,229.698341
-50.0,50,231.46637
-50.0,50,233.258623
-50.0,50,235.254698
-50.0,50,237.196167
-50.0,50,239.236149
-50.0,50,241.126639
-50.0,50,242.967373
-50.0,50,244.81779
0.0,1,244.851962
-50.0,50,246.776379
-50.0,50,248.615891
-50.0,50,250.51767
-50.0,50,252.548823
-50.0,50,254.466733
-50.0,50,256.247643
-50.0,50,258.051637
-50.0,50,259.80149
0.0,1,259.837737
-50.0,50,261.641698
-50.0,50,263.519959
-50.0,50,265.548261
-50.0,50,267.404403
0.0,1,267.446803
-9.0,10,267.821038
-50.0,50,269.748662
-50.0,50,271.595193
-1.0,2,271.658818
-50.0,50,273.610585
-50.0,50,275.494699
-50.0,50,277.408514
0.0,1,277.458244
-50.0,50,279.29887
-50.0,50,281.059207
-50.0,50,283.002433
-50.0,50,284.96559
-50.0,50,286.659289
0.0,1,286.698446
0.0,1,286.73819
-50.0,50,288.453187
-50.0,50,290.460048
-50.0,50,292.515478
-50.0,50,294.380124
-50.0,50,296.298852
-50.0,50,298.376153
-50.0,50,300.297875
-50.0,50,302.211235
-2.0,3,302.30694
0.0,1,302.343496
-50.0,50,304.348233
0.0,1,304.39302
-1.0,2,304.456692
-50.0,50,306.300034
-50.0,50,308.296207
-50.0,50,310.161833
0.0,1,310.215796
-50.0,50,312.279369
-50.0,50,314.203133
-50.0,50,316.156188
-50.0,50,317.947794
-50.0,50,319.792328
-50.0,50,332.179482
-50.0,50,334.118131
0.0,1,334.15055
-2.0,3,334.252855
-50.0,50,336.26297
-50.0,50,338.059949
-50.0,50,340.086062
-50.0,50,342.072276
0.0,1,342.109791
-50.0,50,344.116041
0.0,1,344.14389
-50.0,50,346.042867
-50.0,50,347.873818
-50.0,50,349.73204
-50.0,50,351.577786
-50.0,50,353.419312
-50.0,50,355.191016
-50.0,50,357.181257
-50.0,50,359.068955
-50.0,50,361.133868
-50.0,50,362.971516
-50.0,50,364.820913
-50.0,50,366.545086
-50.0,50,368.320748
-50.0,50,370.2127
-50.0,50,372.145016
-50.0,50,374.232782
-50.0,50,376.09027
-50.0,50,377.962642
-7.0,8,378.259913
-50.0,50,380.35783
0.0,1,380.387548
-50.0,50,382.351822
-50.0,50,384.357497
-50.0,50,386.180377
-50.0,50,388.138857
-50.0,50,390.290071
-50.0,50,392.134235
-50.0,50,394.239372
-4.0,5,394.43378
-50.0,50,396.424917
-50.0,50,398.619963
-50.0,50,400.552435
-50.0,50,402.479694
-50.0,50,404.485412
-50.0,50,406.433905
-50.0,50,408.296387
-50.0,50,410.132504
-50.0,50,412.127695
-50.0,50,413.845707
-50.0,50,415.661725
-50.0,50,417.473778
-50.0,50,419.264453
-50.0,50,421.124538
-50.0,50,422.933462
-50.0,50,424.791297
-50.0,50,426.801716
-50.0,50,428.668457
-50.0,50,430.552938
-50.0,50,432.431307
-50.0,50,434.453343
-50.0,50,436.346636
-50.0,50,438.208282
-50.0,50,440.043771
-50.0,50,442.097076
-50.0,50,443.938075
-50.0,50,445.790499
-50.0,50,448.001799
-50.0,50,450.028607
-20.0,21,450.885579
-50.0,50,452.812455
-50.0,50,454.668237
-50.0,50,456.496081
-50.0,50,458.471582
-50.0,50,460.303979
-50.0,50,461.964811
-50.0,50,463.810514
-50.0,50,465.647972
-50.0,50,467.61371
-50.0,50,469.563787
-50.0,50,471.340115
-50.0,50,473.195232
-50.0,50,474.992938
-4.0,5,475.193057
-50.0,50,477.052597
-50.0,50,479.032372
-50.0,50,481.065989
-50.0,50,482.841847
-50.0,50,484.857183
-50.0,50,486.714529
-50.0,50,499.140641
-50.0,50,501.042491
-50.0,50,502.777441
-50.0,50,504.9125
-50.0,50,506.931438
-50.0,50,508.927812
-50.0,50,510.895126
-50.0,50,512.803508
-50.0,50,514.731921
-50.0,50,516.569701
