#{"t_start": 1635735675.7098153, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
0.0,1,3.233556
-50.0,50,4.015118
-50.0,50,4.780465
0.0,1,4.812478
-50.0,50,5.662814
-50.0,50,6.495044
-50.0,50,7.608971
-50.0,50,8.762781
-50.0,50,10.103539
-50.0,50,11.484815
-50.0,50,13.101612
-50.0,50,14.822912
-50.0,50,16.843408
-50.0,50,19.024662
-50.0,50,20.745614
-50.0,50,22.495658
-50.0,50,24.203331
-50.0,50,26.036575
0.0,1,26.078845
-6.0,7,26.386
-50.0,50,28.030547
-50.0,50,29.796418
-50.0,50,31.536839
0.0,1,31.571228
-50.0,50,33.373599
-50.0,50,35.266156
-50.0,50,36.845663
-50.0,50,38.653225
0.0,1,38.705559
-50.0,50,40.614001
-50.0,50,42.375567
-50.0,50,44.382027
-50.0,50,46.219642
-50.0,50,48.262538
-50.0,50,49.847349
-50.0,50,51.547273
-50.0,50,53.514899
-50.0,50,55.252575
-50.0,50,57.165427
0.0,1,57.203916
-6.0,7,57.455564
-50.0,50,59.269428
-50.0,50,61.048446
-50.0,50,62.912626
-50.0,50,64.796933
-50.0,50,66.8126
-50.0,50,68.71115
0.0,1,68.755348
-50.0,50,70.617826
-50.0,50,72.570674
-50.0,50,74.533465
-50.0,50,76.352361
-50.0,50,78.289691
0.0,1,78.335327
-50.0,50,80.196672
-50.0,50,82.273712
-50.0,50,84.130907
-50.0,50,86.006979
-50.0,50,87.933315
-50.0,50,89.888393
-3.0,4,90.080057
-50.0,50,92.213333
-50.0,50,94.122664
-50.0,50,95.881019
-8.0,9,96.190388
-11.0,12,96.613171
-50.0,50,98.295317
-50.0,50,100.006466
-50.0,50,101.742461
-50.0,50,103.661791
-50.0,50,105.401616
-50.0,50,107.238657
0.0,1,107.282623
-50.0,50,108.996487
-50.0,50,110.67055
-50.0,50,112.572716
-50.0,50,114.450498
-50.0,50,116.436139
-50.0,50,118.399676
-50.0,50,120.399673
-50.0,50,122.186113
-50.0,50,123.928957
0.0,1,123.975521
-50.0,50,125.943353
-50.0,50,127.985333
-50.0,50,129.824321
-50.0,50,131.698144
-50.0,50,133.56692
-50.0,50,135.373209
-50.0,50,137.237847
-50.0,50,139.259221
-50.0,50,141.124237
-50.0,50,142.957571
0.0,1,142.996288
-10.0,11,143.443448
-50.0,50,145.420038
-50.0,50,147.365717
-50.0,50,164.265143
-50.0,50,166.131554
-50.0,50,168.110312
-50.0,50,169.995405
-50.0,50,171.866352
-50.0,50,173.780952
-50.0,50,175.561916
-50.0,50,177.272403
-50.0,50,179.30466
0.0,1,179.352754
-3.0,4,179.499465
-50.0,50,181.569592
0.0,1,181.61568
-50.0,50,183.622488
-50.0,50,185.375807
-50.0,50,187.318778
-50.0,50,189.257693
-50.0,50,191.235383
-50.0,50,193.237652
-50.0,50,195.25243
-50.0,50,197.141855
-50.0,50,198.990705
-50.0,50,201.110665
-50.0,50,202.980982
-50.0,50,204.937867
-31.0,32,206.141073
-50.0,50,208.245171
-50.0,50,210.239625
-50.0,50,212.00394
-50.0,50,213.968698
-50.0,50,215.892395
-50.0,50,218.016129
-50.0,50,219.983053
-50.0,50,221.91478
-50.0,50,223.867153
-50.0,50,225.774929
-50.0,50,227.654235
-50.0,50,229.455807
-50.0,50,231.275813
-2.0,3,231.392985
-50.0,50,233.172774
-50.0,50,235.272722
-50.0,50,237.180545
-50.0,50,239.17945
-50.0,50,241.012069
-50.0,50,242.841814
-50.0,50,244.75252
-50.0,50,246.668993
-50.0,50,248.539921
-50.0,50,250.466946
-50.0,50,252.493332
-50.0,50,254.311711
-50.0,50,256.019385
-50.0,50,257.910405
-50.0,50,259.621114
-50.0,50,261.432453
-50.0,50,263.439116
-50.0,50,265.42244
-50.0,50,267.242708
-50.0,50,269.17239
-50.0,50,270.988142
-50.0,50,272.887326
-50.0,50,274.87328
-50.0,50,276.806247
-50.0,50,278.608518
-50.0,50,280.32963
-50.0,50,282.296463
-50.0,50,284.235983
-50.0,50,285.911695
-50.0,50,287.703074
-50.0,50,289.735645
-50.0,50,291.776757
-50.0,50,293.616024
-50.0,50,295.549651
-50.0,50,297.660989
-50.0,50,299.522798
-50.0,50,301.430541
-50.0,50,303.432884
-50.0,50,305.271793
-50.0,50,307.280258
-50.0,50,309.160528
-50.0,50,311.220837
-50.0,50,313.135568
-50.0,50,315.099339
-41.0,42,316.555426
0.0,1,316.59542
-50.0,50,318.445264
-50.0,50,330.826628
-50.0,50,332.779482
-50.0,50,334.708864
-50.0,50,336.586903
-50.0,50,338.561375
-50.0,50,340.561563
-50.0,50,342.606814
-50.0,50,344.393949
-50.0,50,346.336452
-50.0,50,348.165456
-15.0,16,348.775859
-50.0,50,350.625963
-50.0,50,352.442209
0.0,1,352.47346
0.0,1,352.523248
-50.0,50,354.345196
-50.0,50,356.285313
-50.0,50,358.276446
-50.0,50,360.288756
-50.0,50,362.094619
-50.0,50,363.944907
-50.0,50,365.651904
-50.0,50,367.450851
-50.0,50,369.357748
-50.0,50,371.284068
-50.0,50,373.379979
-50.0,50,375.170211
-50.0,50,377.062604
-50.0,50,379.148628
-50.0,50,381.102484
-10.0,11,381.578475
-2.0,3,381.720627
-50.0,50,383.701651
0.0,1,383.738328
-50.0,50,385.59492
-50.0,50,387.578617
-50.0,50,389.716186
0.0,1,389.763627
-50.0,50,391.565894
-50.0,50,393.640961
-50.0,50,395.654379
-50.0,50,397.935653
-50.0,50,399.748375
-50.0,50,401.696378
-50.0,50,403.755212
-14.0,15,404.338418
-50.0,50,406.174667
-50.0,50,407.986958
-50.0,50,410.056317
-50.0,50,411.783957
-2.0,3,411.896085
-50.0,50,413.709196
0.0,1,413.750444
0.0,1,413.78356
-50.0,50,415.576943
-50.0,50,417.373832
-50.0,50,419.252182
-50.0,50,421.047292
-50.0,50,422.856357
-50.0,50,424.862698
-50.0,50,426.834055
-50.0,50,428.625762
-50.0,50,430.485866
-3.0,4,430.63563
-50.0,50,432.664505
-50.0,50,434.566911
-50.0,50,436.488554
-50.0,50,438.270789
-50.0,50,440.215538
-50.0,50,442.167455
-50.0,50,444.009198
-5.0,6,444.278897
-7.0,8,444.549756
-4.0,5,444.726809
-50.0,50,446.951781
-50.0,50,448.965802
-50.0,50,450.933169
-50.0,50,452.861282
-50.0,50,454.617207
-50.0,50,456.667766
-50.0,50,458.456445
0.0,1,458.503125
-50.0,50,460.236741
-50.0,50,462.005877
-50.0,50,463.858473
-50.0,50,465.7642
-50.0,50,467.78394
-50.0,50,469.597012
-50.0,50,471.321047
-50.0,50,473.248401
-50.0,50,475.047338
-50.0,50,476.975321
-50.0,50,478.944297
-50.0,50,480.906704
-50.0,50,482.891153
-50.0,50,484.672743
-50.0,50,486.648146
-2.0,3,486.75323
0.0,1,486.815935
-50.0,50,499.192292
-50.0,50,500.982349
-50.0,50,503.024347
-50.0,50,505.008899
-50.0,50,507.027655
-50.0,50,509.100319
-50.0,50,510.954645
-50.0,50,512.849082
-50.0,50,514.731686
-50.0,50,516.720367
-50.0,50,518.541298
-50.0,50,520.449575
-50.0,50,522.382932
-50.0,50,524.286985
-50.0,50,526.170313
-50.0,50,528.061643
-50.0,50,530.130519
-50.0,50,532.077068
-50.0,50,533.960813
-50.0,50,535.721447
-50.0,50,537.464557
0.0,1,537.511657
-50.0,50,539.423874
-50.0,50,541.334976
-50.0,50,543.303348
-50.0,50,545.200404
-50.0,50,547.264151
-50.0,50,549.276959
-50.0,50,551.266005
-50.0,50,553.429857
-50.0,50,555.347052
-50.0,50,557.226815
-50.0,50,559.045752
-50.0,50,560.853042
-50.0,50,562.990546
-50.0,50,565.019725
-50.0,50,567.077951
-50.0,50,568.873846
-50.0,50,570.700663
0.0,1,570.757001
-50.0,50,572.466619
-50.0,50,574.315452
-50.0,50,576.119766
-50.0,50,577.995783
-50.0,50,579.948649
0.0,1,580.001968
-50.0,50,581.951695
-50.0,50,583.877039
-50.0,50,585.798336
-50.0,50,587.600737
-50.0,50,589.510724
-50.0,50,591.434975
-50.0,50,593.454629
-50.0,50,595.294665
0.0,1,595.342094
-50.0,50,597.170835
-50.0,50,598.889012
0.0,1,598.918193
-50.0,50,600.657371
-50.0,50,602.565677
-50.0,50,604.371392
0.0,1,604.40652
-50.0,50,606.411193
-50.0,50,608.333388
-50.0,50,610.214537
-50.0,50,612.124106
-50.0,50,614.273471
-50.0,50,616.197935
-50.0,50,617.969174
-50.0,50,619.999291
-50.0,50,622.080512
-50.0,50,623.927148
-50.0,50,625.819364
-50.0,50,627.554086
-50.0,50,629.471285
-50.0,50,631.384794
-50.0,50,633.343623
-6.0,7,633.66168
-50.0,50,635.612894
-50.0,50,637.674219
-50.0,50,639.457934
-50.0,50,641.306564
-10.0,11,641.762828
-2.0,3,641.885615
-50.0,50,643.855314
-50.0,50,645.8667
-50.0,50,647.727731
-50.0,50,649.4871
0.0,1,649.523423
-50.0,50,651.348786
-50.0,50,653.175931
-50.0,50,666.718996
-50.0,50,668.552619
-50.0,50,670.437283
-50.0,50,672.340781
-50.0,50,674.206104
0.0,1,674.240742
-50.0,50,676.179383
-50.0,50,678.173075
-50.0,50,680.138167
-50.0,50,682.07575
-50.0,50,683.9749
-50.0,50,685.82613
-50.0,50,687.686059
-50.0,50,689.665857
-50.0,50,691.706302
-50.0,50,693.588157
-50.0,50,695.400309
-50.0,50,697.26074
-50.0,50,699.073642
-50.0,50,701.011422
-50.0,50,702.858971
0.0,1,702.891238
-50.0,50,704.732739
-50.0,50,706.365821
-50.0,50,708.112352
-50.0,50,709.855715
-50.0,50,711.694051
-50.0,50,713.53139
-50.0,50,715.356248
-50.0,50,717.230399
-50.0,50,719.17445
-50.0,50,721.119319
0.0,1,721.153549
-50.0,50,722.999145
-50.0,50,724.776507
-50.0,50,726.596219
-50.0,50,728.396169
-50.0,50,730.157987
-50.0,50,731.953029
-50.0,50,733.907655
-50.0,50,735.737509
-50.0,50,737.529349
-50.0,50,739.455923
-50.0,50,741.316499
-50.0,50,743.239013
-50.0,50,745.033006
-50.0,50,746.920638
-50.0,50,748.943709
-50.0,50,750.783656
-50.0,50,752.710032
-50.0,50,754.761697
-50.0,50,756.765949
-50.0,50,758.902948
-50.0,50,760.989688
-50.0,50,762.89969
0.0,1,762.947822
-50.0,50,764.764853
-50.0,50,766.742657
-50.0,50,768.67791
-50.0,50,770.737394
-2.0,3,770.864388
-50.0,50,772.726688
-50.0,50,774.449775
-50.0,50,776.424021
-50.0,50,778.428248
-50.0,50,780.309539
-50.0,50,782.117367
-50.0,50,783.870661
-50.0,50,785.667442
-50.0,50,787.565207
-50.0,50,789.511273
-50.0,50,791.287422
0.0,1,791.340982
-50.0,50,793.342574
0.0,1,793.38694
-50.0,50,795.243615
-50.0,50,797.12
-50.0,50,798.977673
0.0,1,799.016883
-50.0,50,800.912341
-9.0,10,801.331892
-50.0,50,803.274852
-50.0,50,805.151396
-50.0,50,806.997445
-24.0,25,807.909072
0.0,1,807.943535
-50.0,50,809.869158
-50.0,50,811.684355
-50.0,50,813.606863
-50.0,50,815.619464
-50.0,50,817.486739
-50.0,50,819.305587
-50.0,50,831.833395
-50.0,50,833.776899
-50.0,50,835.743707
-50.0,50,837.786301
-50.0,50,839.6631
-50.0,50,841.677359
-50.0,50,843.568982
-50.0,50,845.438179
-50.0,50,847.349543
-50.0,50,849.203156
-50.0,50,850.972466
-50.0,50,852.769151
-50.0,50,854.680941
-50.0,50,856.532579
-50.0,50,858.534063
-50.0,50,860.42041
-50.0,50,862.507163
-50.0,50,864.494819
-50.0,50,866.316895
-50.0,50,868.370519
-50.0,50,870.197535
-50.0,50,872.018495
-50.0,50,873.907514
-50.0,50,875.766927
-50.0,50,877.619269
-50.0,50,879.545049
-50.0,50,881.382184
-50.0,50,883.219965
-50.0,50,885.081665
-8.0,9,885.374311
-50.0,50,887.254976
-33.0,34,888.520787
-9.0,10,888.934795
-50.0,50,890.822348
-50.0,50,892.659451
-50.0,50,894.335517
-50.0,50,896.190113
-50.0,50,898.12364
-50.0,50,899.89916
-50.0,50,902.159465
-50.0,50,903.931637
-50.0,50,905.80175
-50.0,50,907.697821
0.0,1,907.762995
-50.0,50,909.679595
-50.0,50,911.519611
-50.0,50,913.510758
-50.0,50,915.413442
-50.0,50,917.409585
-50.0,50,919.302772
-50.0,50,921.146681
-50.0,50,923.140013
