#{"t_start": 1635498525.674687, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,4.459827
-19.0,20,5.267054
-50.0,50,7.061991
-50.0,50,9.380743
-50.0,50,12.13177
-50.0,50,16.226643
-50.0,50,21.27504
-50.0,50,27.092623
-50.0,50,33.191365
-50.0,50,39.136461
-2.0,3,39.44588
0.0,1,39.565911
-50.0,50,44.463827
-50.0,50,50.33603
0.0,1,50.451441
-50.0,50,57.257986
-50.0,50,64.020374
-50.0,50,69.837736
-50.0,50,75.755875
0.0,1,75.895671
0.0,1,76.030256
-50.0,50,81.484398
-50.0,50,87.320237
-50.0,50,93.724307
-50.0,50,100.111781
-50.0,50,110.831783
0.0,1,110.929245
-50.0,50,116.859901
-50.0,50,122.19981
-50.0,50,128.330093
0.0,1,128.498992
-50.0,50,134.785558
-50.0,50,140.500856
-50.0,50,144.920905
-50.0,50,150.018278
-50.0,50,154.516546
-7.0,8,155.141087
-50.0,50,160.094582
0.0,1,160.196724
-11.0,12,161.599276
-50.0,50,167.815225
-50.0,50,173.588387
-50.0,50,179.725662
-50.0,50,185.677522
-5.0,6,186.448389
-50.0,50,190.801012
-50.0,50,196.753564
-50.0,50,203.037306
-50.0,50,208.167843
-50.0,50,214.073843
-50.0,50,220.257162
-50.0,50,231.429891
-50.0,50,236.887024
-50.0,50,242.843255
-50.0,50,249.32996
-50.0,50,254.384849
-50.0,50,259.786847
0.0,1,259.917873
-50.0,50,266.345246
-50.0,50,271.831092
-50.0,50,277.204779
-50.0,50,282.7034
-50.0,50,288.048843
-50.0,50,292.620268
-50.0,50,298.238045
-50.0,50,302.946946
-50.0,50,307.543139
-50.0,50,312.937419
-50.0,50,317.771029
-50.0,50,323.316904
-50.0,50,329.55764
-50.0,50,335.476285
-50.0,50,341.976309
0.0,1,342.105311
-50.0,50,353.515335
-50.0,50,360.234508
-2.0,3,360.634143
-50.0,50,367.288706
-50.0,50,372.483526
-50.0,50,377.370662
-50.0,50,383.872761
-50.0,50,390.218333
-50.0,50,397.30872
0.0,1,397.398036
-50.0,50,403.294137
-50.0,50,409.9009
-50.0,50,416.536661
-50.0,50,423.405749
-50.0,50,429.415046
-50.0,50,435.909596
-50.0,50,441.928773
-50.0,50,448.384178
-50.0,50,454.398293
-50.0,50,460.332188
-50.0,50,465.966512
0.0,1,466.058562
-50.0,50,472.362214
-50.0,50,483.604293
-50.0,50,489.540731
-50.0,50,496.328551
-50.0,50,502.105156
-50.0,50,508.167166
-50.0,50,512.187008
-50.0,50,516.989239
-50.0,50,521.984616
-50.0,50,528.148804
-50.0,50,533.885732
-50.0,50,540.904789
-50.0,50,546.164188
-50.0,50,552.121854
-50.0,50,557.512802
0.0,1,557.641729
-50.0,50,564.095075
-50.0,50,570.968036
-50.0,50,576.442036
-50.0,50,581.89833
0.0,1,582.084159
-50.0,50,589.293423
-50.0,50,594.301298
-50.0,50,599.662339
-50.0,50,611.102
-50.0,50,617.013245
-50.0,50,623.021492
-11.0,12,624.769111
-50.0,50,630.557887
-50.0,50,636.912786
-50.0,50,643.658573
-50.0,50,649.189875
-5.0,6,649.989078
-6.0,7,650.836799
-50.0,50,656.936677
-50.0,50,663.220502
-2.0,3,663.601608
-50.0,50,668.984228
-50.0,50,674.398351
-50.0,50,680.104714
-50.0,50,685.309494
0.0,1,685.384967
-50.0,50,690.476442
-50.0,50,696.000513
-50.0,50,700.778379
0.0,1,700.870378
-50.0,50,705.790646
-50.0,50,711.23295
-50.0,50,717.848992
0.0,1,718.046287
-50.0,50,729.823358
-50.0,50,735.706179
0.0,1,735.794845
-50.0,50,741.622826
-50.0,50,748.182726
-50.0,50,754.250177
-50.0,50,760.616339
-50.0,50,766.573885
-50.0,50,772.441822
-50.0,50,777.136533
-50.0,50,781.56568
-8.0,9,782.599083
-50.0,50,786.962954
-50.0,50,792.495669
0.0,1,792.624331
-50.0,50,798.7127
-50.0,50,804.635846
-50.0,50,810.292323
-50.0,50,815.849142
-50.0,50,822.585226
-50.0,50,829.060662
-50.0,50,835.932235
-50.0,50,842.521581
-50.0,50,849.130881
-50.0,50,860.470256
-50.0,50,865.655503
-50.0,50,871.067552
-50.0,50,875.400552
-50.0,50,879.743795
-50.0,50,885.368845
-50.0,50,891.841658
0.0,1,891.965714
-50.0,50,896.885552
-50.0,50,901.622566
-50.0,50,907.341028
-50.0,50,913.428417
-50.0,50,920.156107
-50.0,50,926.788575
-50.0,50,932.834239
-50.0,50,938.371231
-50.0,50,944.556307
-50.0,50,950.332507
-5.0,6,951.329119
-50.0,50,957.57214
-50.0,50,962.620733
-50.0,50,968.517102
-50.0,50,978.264163
-50.0,50,984.467723
-50.0,50,990.686932
-50.0,50,996.201659
-50.0,50,1001.220432
-50.0,50,1006.421168
-50.0,50,1011.737925
-50.0,50,1016.972285
-50.0,50,1021.830859
-50.0,50,1028.036271
-50.0,50,1034.512187
-50.0,50,1040.214108
-50.0,50,1044.904765
-50.0,50,1050.396746
-50.0,50,1055.205083
-50.0,50,1061.166619
-50.0,50,1065.7343
-50.0,50,1071.616128
-50.0,50,1076.502138
0.0,1,1076.64175
-50.0,50,1082.390262
-50.0,50,1088.619679
-50.0,50,1100.407779
-50.0,50,1106.798951
-50.0,50,1112.172546
0.0,1,1112.332846
-50.0,50,1117.913576
-2.0,3,1118.319598
-50.0,50,1124.913526
-50.0,50,1131.690065
-50.0,50,1138.521978
-50.0,50,1145.584404
-50.0,50,1151.132269
-50.0,50,1156.868854
-50.0,50,1164.073797
-50.0,50,1170.452576
-50.0,50,1177.543045
-50.0,50,1183.538663
-50.0,50,1189.436178
-50.0,50,1195.299094
-50.0,50,1200.638605
-50.0,50,1206.304601
-50.0,50,1211.644693
-50.0,50,1217.418423
0.0,1,1217.568685
-50.0,50,1229.482091
-50.0,50,1235.305193
-50.0,50,1241.197248
-50.0,50,1246.45963
-50.0,50,1252.855815
0.0,1,1253.014023
0.0,1,1253.109708
-2.0,3,1253.615129
-50.0,50,1260.201452
-50.0,50,1267.19404
-50.0,50,1274.313534
-50.0,50,1279.239679
-50.0,50,1283.663804
-50.0,50,1288.92755
-50.0,50,1295.714073
-50.0,50,1301.181517
-50.0,50,1306.515993
-50.0,50,1312.108356
-50.0,50,1316.246921
-50.0,50,1320.720832
-50.0,50,1325.756733
-50.0,50,1331.816399
-50.0,50,1338.279206
-1.0,2,1338.612413
0.0,1,1338.765785
-50.0,50,1349.707109
-50.0,50,1355.772475
-50.0,50,1361.931591
0.0,1,1362.076679
-50.0,50,1368.16721
-50.0,50,1373.110788
-50.0,50,1377.694274
-1.0,2,1377.970284
-50.0,50,1383.346652
-50.0,50,1388.428821
-50.0,50,1393.560204
-50.0,50,1400.30277
0.0,1,1400.440964
-50.0,50,1406.276093
-50.0,50,1411.933895
-50.0,50,1417.360539
-50.0,50,1421.35296
-50.0,50,1426.233026
-50.0,50,1431.236731
0.0,1,1431.335031
0.0,1,1431.43421
-50.0,50,1437.000309
-50.0,50,1443.652737
-50.0,50,1449.488787
-50.0,50,1455.061116
-50.0,50,1460.679656
-50.0,50,1471.623592
-50.0,50,1476.975588
-50.0,50,1481.814168
-50.0,50,1486.949142
-50.0,50,1492.21116
-1.0,2,1492.454226
-50.0,50,1496.463972
-50.0,50,1502.18414
-50.0,50,1506.958014
-50.0,50,1511.342178
-3.0,4,1511.664303
-14.0,15,1513.067616
-50.0,50,1517.653123
-50.0,50,1524.074815
-50.0,50,1530.588537
-50.0,50,1535.91394
-50.0,50,1541.337736
-50.0,50,1546.486434
0.0,1,1546.626638
-50.0,50,1552.710416
-50.0,50,1558.400145
-50.0,50,1564.64128
-50.0,50,1570.99166
0.0,1,1571.109796
-21.0,22,1573.459983
0.0,1,1573.553006
-50.0,50,1585.058067
-50.0,50,1590.327594
0.0,1,1590.450148
-50.0,50,1595.088854
-50.0,50,1598.851781
-50.0,50,1604.663133
-50.0,50,1611.063344
-50.0,50,1617.894015
-50.0,50,1622.933675
-50.0,50,1628.496729
-50.0,50,1634.69758
-50.0,50,1641.074746
-50.0,50,1645.614746
0.0,1,1645.718289
-5.0,6,1646.563719
-50.0,50,1651.829844
-50.0,50,1657.364458
0.0,1,1657.45648
-50.0,50,1661.198426
-50.0,50,1664.48776
-50.0,50,1670.190172
-50.0,50,1675.025882
-50.0,50,1680.687117
-50.0,50,1685.599202
0.0,1,1685.705218
-50.0,50,1695.650101
0.0,1,1695.779465
-50.0,50,1701.535368
-50.0,50,1707.022043
0.0,1,1707.216964
-50.0,50,1713.138007
-50.0,50,1719.041113
-50.0,50,1724.828214
-50.0,50,1730.872523
-50.0,50,1736.223668
-50.0,50,1740.963426
-50.0,50,1746.540852
-50.0,50,1752.982947
-50.0,50,1759.565568
-50.0,50,1765.62007
-50.0,50,1772.158146
-50.0,50,1777.696979
-50.0,50,1782.451921
-50.0,50,1788.873899
-50.0,50,1793.895078
-50.0,50,1799.595987
-50.0,50,1805.133572
-50.0,50,1809.308667
-50.0,50,1819.511077
-50.0,50,1824.980315
-50.0,50,1830.387975
