#{"t_start": 1635498525.3976219, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,4.717534
-50.0,50,6.494301
-50.0,50,8.497157
-50.0,50,11.049216
-50.0,50,14.651664
-50.0,50,19.205646
-50.0,50,24.741701
-50.0,50,30.728926
-50.0,50,37.179377
-50.0,50,42.154015
-50.0,50,47.34483
-50.0,50,53.895429
-50.0,50,60.790707
-50.0,50,67.062942
-50.0,50,72.580967
-50.0,50,79.050018
-50.0,50,84.132612
-50.0,50,90.271376
0.0,1,90.437351
-50.0,50,96.981833
-50.0,50,103.075964
-50.0,50,113.60836
-50.0,50,119.363195
-50.0,50,125.398322
-50.0,50,131.568747
-50.0,50,137.818623
-50.0,50,142.708367
-50.0,50,147.241879
-50.0,50,152.390083
-50.0,50,156.37965
-50.0,50,161.929965
0.0,1,162.048745
-50.0,50,168.295212
-50.0,50,174.075438
0.0,1,174.166101
-50.0,50,180.269504
-50.0,50,186.234096
-50.0,50,190.70772
-50.0,50,196.489879
-50.0,50,202.603559
-50.0,50,208.069771
-50.0,50,213.922184
-50.0,50,220.168109
-50.0,50,231.24134
-50.0,50,236.804505
-50.0,50,242.716153
-50.0,50,249.166843
-50.0,50,254.238497
-50.0,50,259.596697
-50.0,50,266.000891
-50.0,50,271.626865
-50.0,50,277.005204
-50.0,50,282.371811
-50.0,50,287.924885
-50.0,50,292.425226
-50.0,50,297.93647
-50.0,50,302.875731
-50.0,50,307.234343
-50.0,50,312.589934
-50.0,50,317.637643
-50.0,50,323.153937
-50.0,50,329.071954
-50.0,50,335.193104
-50.0,50,341.69635
-50.0,50,353.053267
-50.0,50,359.708738
-50.0,50,366.342644
-50.0,50,372.153809
-50.0,50,376.76243
-50.0,50,382.986315
-50.0,50,389.448321
-50.0,50,396.537665
-50.0,50,402.546882
-50.0,50,408.853589
-50.0,50,415.390982
0.0,1,415.543809
-50.0,50,422.623018
0.0,1,422.740127
-50.0,50,428.645134
-50.0,50,435.184979
-50.0,50,441.284618
-50.0,50,447.411076
-50.0,50,453.65399
-50.0,50,459.720785
-50.0,50,465.493895
-50.0,50,471.435376
-50.0,50,482.970315
0.0,1,483.113354
-50.0,50,488.982651
-50.0,50,495.574713
-50.0,50,501.722853
-50.0,50,507.369286
-50.0,50,511.847972
-50.0,50,516.679101
-50.0,50,521.393104
-50.0,50,527.442515
-50.0,50,533.492379
-50.0,50,539.860188
-50.0,50,545.58038
-50.0,50,551.641988
-50.0,50,556.827701
-50.0,50,563.281198
-50.0,50,570.052795
0.0,1,570.200357
-50.0,50,575.912537
-50.0,50,581.402712
-50.0,50,588.394731
-50.0,50,593.7497
-50.0,50,598.816477
-50.0,50,610.304423
-50.0,50,616.437848
-50.0,50,622.099172
-50.0,50,628.52121
-50.0,50,634.627322
-50.0,50,640.905375
-10.0,11,642.511938
-50.0,50,648.466258
-50.0,50,654.6646
-50.0,50,660.730014
-50.0,50,666.427649
-50.0,50,672.126141
-50.0,50,677.450681
-50.0,50,682.973688
-50.0,50,688.130553
-50.0,50,693.447217
-50.0,50,698.77767
-50.0,50,703.290662
-50.0,50,708.287175
-50.0,50,714.43721
-50.0,50,721.17667
-50.0,50,732.857607
-50.0,50,738.081707
-50.0,50,744.734141
-50.0,50,750.930748
-50.0,50,756.873278
-50.0,50,763.367352
-50.0,50,769.138483
-50.0,50,774.572822
-50.0,50,779.090904
-50.0,50,783.960919
-50.0,50,788.457117
-50.0,50,794.290011
-50.0,50,800.197391
-50.0,50,806.097297
-50.0,50,811.691951
0.0,1,811.802011
-50.0,50,817.846472
-50.0,50,824.278908
-50.0,50,830.871329
-50.0,50,837.694845
-50.0,50,844.245316
-50.0,50,855.411441
-50.0,50,861.991416
-50.0,50,867.155898
-50.0,50,872.339647
-50.0,50,876.478592
-50.0,50,881.401862
-43.0,44,886.254897
-50.0,50,892.723228
0.0,1,892.821719
