#{"t_start": 1635498524.3679469, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,5.762642
0.0,1,5.823107
-50.0,50,7.608378
-50.0,50,9.659852
-50.0,50,12.266161
-50.0,50,15.872369
-50.0,50,20.551477
-50.0,50,26.074435
-50.0,50,32.039373
-50.0,50,38.475057
-50.0,50,43.427377
-50.0,50,48.599483
-50.0,50,55.263489
-50.0,50,62.066132
-5.0,6,62.994434
-50.0,50,69.267314
-50.0,50,74.792013
0.0,1,74.891743
-50.0,50,81.221367
-50.0,50,86.134731
-50.0,50,92.454549
-50.0,50,99.035112
-50.0,50,105.094719
-50.0,50,115.618104
-50.0,50,121.46373
-50.0,50,127.371937
-1.0,2,127.612883
-50.0,50,134.086372
-50.0,50,139.924334
-50.0,50,144.634018
-50.0,50,149.241027
-50.0,50,154.207468
-50.0,50,158.272543
-50.0,50,164.075505
-50.0,50,170.262369
-50.0,50,176.107363
-50.0,50,182.127427
-50.0,50,188.309157
0.0,1,188.448863
-50.0,50,192.683328
-50.0,50,198.827119
-2.0,3,199.308032
-50.0,50,205.446902
-50.0,50,210.388401
-50.0,50,216.313749
-50.0,50,222.343986
-50.0,50,233.785007
-50.0,50,239.026118
-50.0,50,245.12804
-50.0,50,251.677356
-50.0,50,256.496614
-50.0,50,262.158726
-50.0,50,268.396743
-50.0,50,273.775718
0.0,1,273.888672
-50.0,50,279.337567
-50.0,50,285.000793
-50.0,50,289.930272
-50.0,50,294.771976
-50.0,50,300.47667
-2.0,3,300.779593
-22.0,23,302.866205
-50.0,50,307.33912
-50.0,50,312.398866
-50.0,50,317.656362
-50.0,50,323.225615
-50.0,50,328.565925
-4.0,5,329.20802
-50.0,50,335.65277
-50.0,50,341.922478
-50.0,50,353.006831
-50.0,50,359.89151
-50.0,50,366.511498
-50.0,50,372.329064
-50.0,50,376.942631
-50.0,50,383.003357
-50.0,50,389.581617
-2.0,3,389.992395
-50.0,50,397.030051
-50.0,50,403.13379
-50.0,50,409.474021
-50.0,50,415.917705
-50.0,50,422.943687
-50.0,50,428.88591
-50.0,50,435.454745
-50.0,50,441.655671
-50.0,50,447.652388
-50.0,50,453.941649
-50.0,50,460.210855
-50.0,50,465.914768
-50.0,50,471.795793
0.0,1,471.890481
-50.0,50,483.411458
-50.0,50,489.409883
0.0,1,489.511597
-50.0,50,495.946841
-8.0,9,497.234185
-50.0,50,503.117285
-50.0,50,509.024374
-50.0,50,513.271289
-50.0,50,518.061868
-50.0,50,523.003921
-3.0,4,523.364161
-50.0,50,529.560635
-50.0,50,535.279123
-50.0,50,542.322727
-50.0,50,547.573495
-50.0,50,553.511241
-1.0,2,553.719566
-50.0,50,559.138698
-50.0,50,565.638306
0.0,1,565.803864
-50.0,50,572.649684
-50.0,50,578.062177
-50.0,50,583.620454
-50.0,50,590.766483
-1.0,2,591.00583
-50.0,50,595.938575
-50.0,50,601.555733
-50.0,50,612.947187
-50.0,50,618.594366
-6.0,7,619.343129
-50.0,50,625.883033
-50.0,50,631.735795
-50.0,50,638.083391
-50.0,50,644.726938
-50.0,50,650.306837
-50.0,50,656.73332
-50.0,50,662.80326
-50.0,50,668.310663
-50.0,50,674.033466
-50.0,50,679.310156
-50.0,50,685.011029
-50.0,50,689.960436
-50.0,50,695.304598
-50.0,50,700.551667
0.0,1,700.634386
-50.0,50,705.158841
-50.0,50,710.428475
-50.0,50,716.786862
-50.0,50,723.589761
-22.0,23,731.591834
-50.0,50,737.441057
0.0,1,737.584553
-50.0,50,743.385875
0.0,1,743.535246
-50.0,50,750.111349
-50.0,50,756.171862
-50.0,50,762.480223
-50.0,50,768.384037
-50.0,50,774.205421
-50.0,50,778.880203
0.0,1,779.000981
-50.0,50,783.591248
-50.0,50,787.782024
-50.0,50,793.371702
-50.0,50,799.401391
-50.0,50,805.475826
-50.0,50,811.276209
-50.0,50,816.64488
0.0,1,816.756
-50.0,50,823.457541
-50.0,50,829.928592
-50.0,50,836.80082
-50.0,50,843.286518
-50.0,50,850.002356
0.0,1,850.13985
-50.0,50,861.353065
-50.0,50,866.666344
-50.0,50,872.139169
-50.0,50,876.56064
-50.0,50,880.699548
-50.0,50,886.4301
-50.0,50,892.891462
-50.0,50,897.926621
-50.0,50,902.561687
-50.0,50,908.30757
-50.0,50,914.431616
-50.0,50,920.97127
-50.0,50,927.672208
-50.0,50,933.743431
-50.0,50,939.255693
-50.0,50,945.441234
-50.0,50,951.145513
-50.0,50,957.747566
-50.0,50,962.931691
-50.0,50,968.712399
-50.0,50,978.650155
-50.0,50,984.812203
-50.0,50,991.066599
-50.0,50,996.47564
-50.0,50,1001.815283
-50.0,50,1006.759011
-2.0,3,1007.134645
-50.0,50,1012.221261
-50.0,50,1017.678921
-50.0,50,1022.420938
-50.0,50,1028.472228
-50.0,50,1035.007699
-2.0,3,1035.383204
-50.0,50,1041.256686
-50.0,50,1045.858945
-50.0,50,1051.446431
0.0,1,1051.521959
-50.0,50,1056.326075
0.0,1,1056.407178
-50.0,50,1062.285032
-50.0,50,1066.901083
-50.0,50,1072.800731
0.0,1,1072.893196
0.0,1,1072.996446
-50.0,50,1077.921322
-50.0,50,1083.67058
-50.0,50,1089.896814
-50.0,50,1101.678469
-50.0,50,1108.063499
-50.0,50,1113.453702
-50.0,50,1119.000725
-50.0,50,1125.725258
-50.0,50,1132.44515
-50.0,50,1139.335847
-50.0,50,1146.235436
-50.0,50,1151.990981
-50.0,50,1157.55252
-50.0,50,1164.544838
-50.0,50,1171.269058
-50.0,50,1178.124172
-50.0,50,1184.400686
-50.0,50,1190.129894
-50.0,50,1195.995588
-50.0,50,1201.499463
-50.0,50,1207.038396
-1.0,2,1207.323256
-4.0,5,1207.97595
-50.0,50,1213.24316
-50.0,50,1219.144478
-50.0,50,1230.990918
-50.0,50,1236.820443
-50.0,50,1242.6955
-50.0,50,1247.98234
-50.0,50,1254.394467
-50.0,50,1261.115698
0.0,1,1261.228999
-50.0,50,1268.155102
-50.0,50,1275.297761
-50.0,50,1280.389442
-50.0,50,1284.788827
-50.0,50,1289.955477
0.0,1,1290.091326
0.0,1,1290.205585
-50.0,50,1296.980661
-50.0,50,1302.426653
-50.0,50,1307.785974
-50.0,50,1313.378253
-50.0,50,1317.530496
0.0,1,1317.626118
-50.0,50,1322.161921
-50.0,50,1327.129856
-11.0,12,1328.344747
-50.0,50,1334.731514
-50.0,50,1341.202174
-50.0,50,1352.323867
-50.0,50,1358.399594
-18.0,19,1360.667009
-50.0,50,1366.859992
-50.0,50,1372.333468
-50.0,50,1376.990365
-50.0,50,1382.185287
-50.0,50,1387.516049
0.0,1,1387.598552
-50.0,50,1392.209354
-50.0,50,1398.426461
-50.0,50,1404.741057
-50.0,50,1410.486641
-50.0,50,1416.274565
-50.0,50,1420.595912
-50.0,50,1425.506346
-50.0,50,1429.873328
0.0,1,1429.947449
-50.0,50,1435.159749
-50.0,50,1441.52889
-50.0,50,1447.952909
-50.0,50,1453.57439
0.0,1,1453.706828
0.0,1,1453.819883
-50.0,50,1459.483206
-50.0,50,1470.497841
