#{"t_start": 1635498525.4612966, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,4.669766
0.0,1,4.729964
-50.0,50,6.51861
-50.0,50,8.572536
-50.0,50,11.179823
-50.0,50,14.801844
-50.0,50,19.490498
-50.0,50,24.98497
-6.0,7,25.856617
-50.0,50,31.985911
-50.0,50,38.186187
-50.0,50,43.270287
0.0,1,43.374969
-50.0,50,48.680632
-50.0,50,55.264967
-50.0,50,62.188287
-50.0,50,68.455783
-50.0,50,73.945395
-50.0,50,80.226974
-50.0,50,85.207111
-50.0,50,91.556853
-50.0,50,98.08895
-50.0,50,104.153158
0.0,1,104.299151
-50.0,50,114.874867
-50.0,50,120.682708
-50.0,50,126.534539
-50.0,50,133.019193
-50.0,50,138.850165
-50.0,50,143.561582
-50.0,50,148.174424
-50.0,50,153.123561
-50.0,50,157.19528
-7.0,8,157.995768
-50.0,50,163.902136
-50.0,50,169.970269
-50.0,50,176.002053
-50.0,50,182.121045
0.0,1,182.274395
-50.0,50,188.131632
0.0,1,188.232171
-2.0,3,188.512518
-50.0,50,192.754019
-50.0,50,199.242185
-50.0,50,205.252584
-50.0,50,210.307806
-50.0,50,216.274875
-50.0,50,222.413068
-50.0,50,233.91679
-50.0,50,239.310635
-50.0,50,245.333112
-50.0,50,251.681955
-50.0,50,256.380465
-50.0,50,262.374322
-50.0,50,268.337375
-50.0,50,273.625026
-50.0,50,279.013433
-50.0,50,284.704915
-50.0,50,289.558156
-50.0,50,294.565866
-50.0,50,300.14728
-50.0,50,304.384983
-50.0,50,309.755785
0.0,1,309.877549
-50.0,50,314.937498
-50.0,50,320.11299
-50.0,50,325.329354
-50.0,50,331.945977
-50.0,50,337.868823
-20.0,21,340.75076
-50.0,50,351.794224
0.0,1,351.932986
-50.0,50,358.833219
-50.0,50,365.433594
-50.0,50,371.254752
-50.0,50,375.86468
-50.0,50,381.948096
0.0,1,382.079315
-50.0,50,388.661613
-50.0,50,395.599261
-50.0,50,401.804053
-50.0,50,408.133092
-50.0,50,414.577892
-50.0,50,421.655137
-50.0,50,427.549492
-50.0,50,434.11675
-50.0,50,440.322339
-50.0,50,446.309617
0.0,1,446.453754
-50.0,50,452.724835
-50.0,50,459.001313
-50.0,50,464.729042
-50.0,50,470.588922
-50.0,50,482.057844
-3.0,4,482.609063
-50.0,50,488.542113
0.0,1,488.645416
-50.0,50,495.143764
0.0,1,495.31203
-50.0,50,501.513215
-50.0,50,507.18757
-50.0,50,511.672814
0.0,1,511.751889
-50.0,50,516.573271
-50.0,50,521.270432
-50.0,50,527.320043
-50.0,50,533.385161
-50.0,50,539.730062
-50.0,50,545.476403
0.0,1,545.577869
-50.0,50,551.63945
-50.0,50,556.804885
-50.0,50,563.301944
-50.0,50,570.073819
0.0,1,570.194701
-50.0,50,575.907793
-50.0,50,581.392116
-50.0,50,588.435892
-50.0,50,593.736312
-50.0,50,598.833533
-50.0,50,610.289219
-50.0,50,616.432897
-50.0,50,622.11222
-50.0,50,628.504232
-50.0,50,634.62241
-50.0,50,640.935547
0.0,1,641.069516
-50.0,50,647.525669
-10.0,11,648.537676
-50.0,50,654.793467
-50.0,50,660.819928
-50.0,50,666.520666
-50.0,50,672.23213
0.0,1,672.336328
-50.0,50,677.648582
-50.0,50,683.302712
-50.0,50,688.30146
-50.0,50,693.638501
0.0,1,693.752765
-50.0,50,699.082223
-50.0,50,703.536554
-50.0,50,708.717022
-50.0,50,714.954503
-50.0,50,721.662056
-50.0,50,733.241129
-50.0,50,738.475614
-2.0,3,738.905849
-50.0,50,745.573421
-50.0,50,751.785275
-50.0,50,757.608954
-50.0,50,764.290719
-50.0,50,769.948604
0.0,1,770.079017
-50.0,50,775.231143
-50.0,50,779.87749
-50.0,50,784.519753
0.0,1,784.599612
-50.0,50,789.417306
-50.0,50,795.278275
-50.0,50,801.043944
-50.0,50,806.890856
-50.0,50,812.549754
-50.0,50,818.797059
-50.0,50,824.945935
-50.0,50,831.905725
-50.0,50,838.536452
-50.0,50,845.18456
-50.0,50,856.300008
-50.0,50,862.697507
-50.0,50,868.086065
-50.0,50,872.979952
-50.0,50,876.89346
-50.0,50,882.252865
-50.0,50,888.02485
-50.0,50,894.159588
-50.0,50,898.688992
-50.0,50,903.732637
-50.0,50,909.647161
-50.0,50,916.038477
-50.0,50,922.721467
-50.0,50,929.455958
-50.0,50,935.318213
-50.0,50,940.707245
-50.0,50,946.883537
-50.0,50,953.197511
-50.0,50,959.074515
-50.0,50,964.167912
-50.0,50,970.040996
-50.0,50,979.760345
-50.0,50,986.177306
-50.0,50,992.200749
-50.0,50,997.958188
-2.0,3,998.315294
-50.0,50,1002.860932
-50.0,50,1008.021924
-50.0,50,1013.61192
-50.0,50,1018.651223
0.0,1,1018.740631
-50.0,50,1024.098866
-50.0,50,1030.140857
-50.0,50,1037.007788
-50.0,50,1041.932893
-50.0,50,1047.049936
0.0,1,1047.212009
-50.0,50,1052.15204
-50.0,50,1057.333749
-50.0,50,1063.033516
-50.0,50,1067.87839
-50.0,50,1073.392811
-50.0,50,1078.892861
0.0,1,1079.034763
-50.0,50,1084.574955
-50.0,50,1096.131975
-50.0,50,1103.029446
-50.0,50,1109.338173
-50.0,50,1114.322047
-50.0,50,1120.371569
-50.0,50,1126.809207
-50.0,50,1133.879682
-50.0,50,1140.814715
0.0,1,1140.988117
-50.0,50,1147.564321
-1.0,2,1147.825624
-6.0,7,1148.588771
0.0,1,1148.696757
0.0,1,1148.801588
-50.0,50,1154.122906
-50.0,50,1160.403732
-50.0,50,1167.601317
-50.0,50,1174.282509
-50.0,50,1180.906211
0.0,1,1181.057003
-50.0,50,1186.667692
-50.0,50,1192.764526
0.0,1,1192.871195
-50.0,50,1198.404448
-50.0,50,1203.901849
-50.0,50,1209.545769
-50.0,50,1214.5992
-50.0,50,1226.280459
-50.0,50,1232.785004
-50.0,50,1238.384151
-50.0,50,1244.040626
-50.0,50,1249.746036
-50.0,50,1256.609233
-50.0,50,1263.236357
-50.0,50,1270.54581
-50.0,50,1276.784579
-50.0,50,1281.119666
-50.0,50,1286.005857
-50.0,50,1291.940307
-50.0,50,1297.70778
-5.0,6,1298.403214
-50.0,50,1304.56014
-50.0,50,1309.474393
-50.0,50,1314.643056
-50.0,50,1318.862983
-50.0,50,1323.844893
-50.0,50,1328.944718
-50.0,50,1335.346403
-50.0,50,1341.530472
-50.0,50,1353.008864
0.0,1,1353.110414
-50.0,50,1359.137166
-50.0,50,1365.405141
-50.0,50,1370.974928
-50.0,50,1375.540761
-50.0,50,1380.720134
-50.0,50,1386.129998
-50.0,50,1390.683672
-50.0,50,1396.649772
-50.0,50,1403.057243
-50.0,50,1408.962024
0.0,1,1409.061984
-50.0,50,1414.691739
-50.0,50,1419.172429
-50.0,50,1424.094714
-50.0,50,1428.406304
-50.0,50,1433.549498
-50.0,50,1439.845274
-50.0,50,1446.224627
-50.0,50,1451.835495
-50.0,50,1457.559535
-50.0,50,1468.637417
-50.0,50,1474.422642
-50.0,50,1479.032622
-50.0,50,1483.841096
-50.0,50,1489.271905
-50.0,50,1494.152589
-50.0,50,1498.896588
-50.0,50,1503.969071
-50.0,50,1508.953451
-50.0,50,1513.171696
-50.0,50,1517.780551
0.0,1,1517.856311
-50.0,50,1524.265208
-50.0,50,1530.785344
-50.0,50,1536.111673
-50.0,50,1541.541466
-50.0,50,1546.675022
-50.0,50,1552.791604
-50.0,50,1558.507777
-50.0,50,1564.696759
-50.0,50,1571.096966
-50.0,50,1577.327245
-50.0,50,1588.312057
-50.0,50,1593.209081
-50.0,50,1597.457536
-50.0,50,1601.462412
-50.0,50,1608.275656
-50.0,50,1614.545307
0.0,1,1614.684755
-50.0,50,1620.845317
-50.0,50,1626.150695
-50.0,50,1631.868337
-50.0,50,1638.039797
0.0,1,1638.179316
-50.0,50,1644.02176
0.0,1,1644.097469
-50.0,50,1648.885944
-50.0,50,1654.404753
-50.0,50,1659.218143
-50.0,50,1662.557695
-50.0,50,1667.183138
-50.0,50,1672.168528
-50.0,50,1677.263208
-50.0,50,1682.476302
-50.0,50,1687.886227
0.0,1,1688.010474
0.0,1,1688.118321
0.0,1,1688.259271
-50.0,50,1698.649833
-50.0,50,1703.794791
-50.0,50,1709.785218
-50.0,50,1715.670056
-50.0,50,1721.356972
-50.0,50,1727.259417
-50.0,50,1733.251825
-50.0,50,1738.465278
-50.0,50,1742.850818
-50.0,50,1749.29898
-50.0,50,1755.701811
-50.0,50,1762.039943
0.0,1,1762.174443
-2.0,3,1762.566607
-50.0,50,1768.94819
-50.0,50,1775.146738
-50.0,50,1780.027772
-50.0,50,1785.904311
-50.0,50,1791.460923
-50.0,50,1796.815939
-50.0,50,1802.441014
-50.0,50,1807.416539
-50.0,50,1816.700227
-50.0,50,1822.015168
-50.0,50,1827.726656
-50.0,50,1833.557299
-50.0,50,1839.502258
-50.0,50,1845.929183
-50.0,50,1851.098859
-50.0,50,1857.197942
-50.0,50,1863.414685
-50.0,50,1868.857973
-50.0,50,1873.477897
-50.0,50,1878.114012
-50.0,50,1882.561933
0.0,1,1882.638831
-50.0,50,1887.403374
-50.0,50,1892.632024
-50.0,50,1898.405471
-50.0,50,1903.815766
-50.0,50,1909.154238
-50.0,50,1915.81434
-2.0,3,1916.244835
-50.0,50,1922.25074
-50.0,50,1928.273912
0.0,1,1928.424022
-4.0,5,1929.098001
-50.0,50,1938.874914
-50.0,50,1944.324673
-50.0,50,1949.447498
-50.0,50,1955.037951
-50.0,50,1961.520445
-50.0,50,1967.818965
