#{"t_start": 1635498524.2729683, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-1.0,2,4.629069
-50.0,50,5.954416
-50.0,50,7.749984
-50.0,50,9.849214
-50.0,50,12.451779
-50.0,50,16.097638
-4.0,5,16.610228
-50.0,50,21.321724
-50.0,50,26.873532
-50.0,50,33.011958
-50.0,50,39.247671
0.0,1,39.351273
-50.0,50,44.436572
-50.0,50,49.680995
-50.0,50,56.271594
-50.0,50,63.199656
-50.0,50,69.478719
-50.0,50,74.982591
0.0,1,75.110889
-50.0,50,81.399877
-50.0,50,86.363296
-50.0,50,92.710355
-50.0,50,99.244201
-50.0,50,105.319289
-50.0,50,115.859915
0.0,1,116.039512
-50.0,50,121.838523
-50.0,50,127.696464
-50.0,50,134.17355
-50.0,50,140.013804
-50.0,50,144.725605
-50.0,50,149.332441
-50.0,50,154.299537
-50.0,50,158.363486
-50.0,50,164.161988
-3.0,4,164.642299
-2.0,3,164.957154
-50.0,50,171.049794
-50.0,50,177.03518
-50.0,50,183.138871
-50.0,50,189.104816
-50.0,50,193.350122
-50.0,50,199.656712
-50.0,50,205.84534
-1.0,2,206.054973
-50.0,50,211.007591
-50.0,50,216.909271
-50.0,50,223.004182
-50.0,50,234.582705
-50.0,50,239.935308
-50.0,50,245.927126
-50.0,50,252.373421
-50.0,50,257.169011
-50.0,50,263.014141
-50.0,50,269.067951
0.0,1,269.244256
-50.0,50,274.484928
-50.0,50,279.873428
-50.0,50,285.544907
-50.0,50,290.482198
-50.0,50,295.36958
-50.0,50,301.059537
-50.0,50,305.291327
-50.0,50,310.52032
-50.0,50,315.672872
-50.0,50,320.678045
0.0,1,320.847059
-50.0,50,326.131376
-50.0,50,332.721523
-50.0,50,338.557584
-50.0,50,345.17101
-50.0,50,356.511851
-50.0,50,363.280651
-50.0,50,369.999355
-50.0,50,374.529058
-50.0,50,379.932225
-50.0,50,386.423413
-50.0,50,393.085026
-50.0,50,399.84761
-50.0,50,405.917863
-50.0,50,412.254756
-50.0,50,419.092901
-50.0,50,425.716472
-50.0,50,431.926232
0.0,1,432.064422
0.0,1,432.190395
-50.0,50,438.844832
-50.0,50,444.684407
-50.0,50,450.982198
-50.0,50,457.163933
-50.0,50,462.985185
-50.0,50,468.678178
-50.0,50,475.107868
-3.0,4,475.677383
-50.0,50,486.675652
-50.0,50,492.63258
-50.0,50,499.538172
0.0,1,499.675057
-2.0,3,500.110173
-50.0,50,505.709092
-50.0,50,511.025384
-50.0,50,515.566458
-50.0,50,520.041671
0.0,1,520.165579
-50.0,50,525.733912
-50.0,50,532.187365
-50.0,50,537.671933
-50.0,50,544.231088
-50.0,50,550.006404
-50.0,50,555.396801
-50.0,50,561.296729
-50.0,50,567.953754
-50.0,50,574.424268
-50.0,50,579.759082
-50.0,50,585.839069
-50.0,50,592.50361
-50.0,50,597.300237
-50.0,50,608.169026
-50.0,50,614.577193
-50.0,50,620.0295
-50.0,50,626.77141
-50.0,50,632.578257
-50.0,50,638.800555
-50.0,50,645.668406
-50.0,50,651.217236
-1.0,2,651.477507
-50.0,50,657.667764
-14.0,15,659.502399
-50.0,50,665.664471
-50.0,50,671.026215
-50.0,50,676.456348
-50.0,50,682.092484
-50.0,50,687.249652
-50.0,50,692.312059
-50.0,50,697.955952
-50.0,50,702.572529
-50.0,50,707.452034
0.0,1,707.559247
0.0,1,707.690668
-50.0,50,713.378524
-50.0,50,720.110227
-50.0,50,731.884607
-50.0,50,737.670732
0.0,1,737.81792
-50.0,50,743.622085
-8.0,9,744.947845
-25.0,26,748.466257
-50.0,50,754.34029
-50.0,50,760.545011
-50.0,50,766.737673
-50.0,50,772.676171
-50.0,50,777.549668
-50.0,50,782.072655
-50.0,50,786.572498
-50.0,50,791.740386
-50.0,50,797.569993
-50.0,50,803.48405
-50.0,50,809.347645
-50.0,50,815.015526
-50.0,50,820.928003
-50.0,50,827.536359
-50.0,50,834.516693
-50.0,50,841.073455
-50.0,50,847.826084
-50.0,50,858.996749
-50.0,50,864.776398
-50.0,50,870.360374
-50.0,50,875.248156
-50.0,50,878.742714
-50.0,50,884.633632
0.0,1,884.765769
-50.0,50,890.697596
-50.0,50,896.459661
-50.0,50,901.005956
-50.0,50,906.155524
-50.0,50,912.320522
-50.0,50,918.891472
-50.0,50,925.559401
-50.0,50,932.107345
-50.0,50,937.586622
-50.0,50,943.294912
-50.0,50,949.405501
-50.0,50,955.910611
-50.0,50,961.25227
-50.0,50,966.798388
-17.0,18,968.89302
-50.0,50,978.845791
-50.0,50,985.025977
-50.0,50,991.255889
-50.0,50,996.706156
-50.0,50,1001.998806
-50.0,50,1007.028314
-50.0,50,1012.073127
-50.0,50,1017.516787
-50.0,50,1022.331223
-50.0,50,1028.329252
-50.0,50,1034.818066
-50.0,50,1040.865628
-50.0,50,1045.474706
-50.0,50,1051.111334
-50.0,50,1055.969873
-50.0,50,1061.598619
-50.0,50,1066.23389
-50.0,50,1072.115426
-50.0,50,1077.075765
-50.0,50,1082.616177
-50.0,50,1089.110123
-6.0,7,1089.752142
-50.0,50,1101.481774
0.0,1,1101.60869
-50.0,50,1107.970696
-50.0,50,1113.448111
-50.0,50,1118.933162
-50.0,50,1125.652173
-50.0,50,1132.361994
-50.0,50,1139.274695
-50.0,50,1146.168924
0.0,1,1146.323187
-50.0,50,1152.081522
-50.0,50,1157.642028
-50.0,50,1164.632269
-50.0,50,1171.358049
-50.0,50,1178.211159
-50.0,50,1184.492384
-50.0,50,1190.206254
-50.0,50,1196.075339
-50.0,50,1201.586041
-50.0,50,1207.121964
0.0,1,1207.285568
-50.0,50,1212.576809
-50.0,50,1218.320866
0.0,1,1218.465971
-50.0,50,1230.314401
-50.0,50,1236.301042
-50.0,50,1242.170455
-50.0,50,1247.410234
-50.0,50,1253.742218
-50.0,50,1260.60577
-50.0,50,1267.353839
-50.0,50,1274.466281
-50.0,50,1280.024259
-50.0,50,1284.104065
-50.0,50,1289.428193
-50.0,50,1296.013168
-8.0,9,1297.189996
-50.0,50,1302.693206
-50.0,50,1307.980863
-50.0,50,1313.591381
-50.0,50,1317.716671
-50.0,50,1322.248357
-50.0,50,1327.221014
-50.0,50,1333.327557
0.0,1,1333.462101
-50.0,50,1339.953292
-50.0,50,1350.913716
-50.0,50,1357.049222
-50.0,50,1363.165219
0.0,1,1363.277324
-50.0,50,1369.465966
-50.0,50,1374.366362
-50.0,50,1378.971575
-50.0,50,1384.417692
-50.0,50,1389.50852
-50.0,50,1394.5804
-50.0,50,1401.250108
-50.0,50,1407.23847
-50.0,50,1412.785977
-50.0,50,1418.362699
0.0,1,1418.480448
-50.0,50,1422.308993
-50.0,50,1427.329315
-50.0,50,1432.260667
-50.0,50,1437.63435
-50.0,50,1444.373956
-50.0,50,1450.179474
0.0,1,1450.295854
-50.0,50,1455.998827
-50.0,50,1461.563697
-50.0,50,1472.587581
-50.0,50,1478.023871
-50.0,50,1482.809478
-50.0,50,1487.756623
-50.0,50,1493.111882
0.0,1,1493.270857
-50.0,50,1497.490399
-50.0,50,1503.083872
-50.0,50,1507.756232
-50.0,50,1512.273179
-50.0,50,1516.863973
-50.0,50,1522.298322
-50.0,50,1529.08595
-50.0,50,1534.969539
-50.0,50,1540.212208
0.0,1,1540.33988
-50.0,50,1545.332225
-50.0,50,1550.92227
-50.0,50,1556.775339
-50.0,50,1562.686214
-50.0,50,1569.366007
-50.0,50,1575.137705
-50.0,50,1586.68478
-50.0,50,1591.922889
-50.0,50,1596.541265
0.0,1,1596.664638
-50.0,50,1600.37024
-1.0,2,1600.504487
-50.0,50,1606.544221
-50.0,50,1612.937208
-50.0,50,1619.864291
-50.0,50,1624.708333
-50.0,50,1630.380332
-50.0,50,1636.569001
-50.0,50,1642.823131
-50.0,50,1647.456193
-50.0,50,1652.857702
-50.0,50,1658.432417
-50.0,50,1662.280303
-50.0,50,1665.368204
-50.0,50,1671.15349
-50.0,50,1675.975724
-50.0,50,1681.708733
-50.0,50,1686.592438
-50.0,50,1691.825266
-50.0,50,1702.352328
-50.0,50,1707.64446
-50.0,50,1713.696483
-50.0,50,1719.518836
-50.0,50,1725.21989
-50.0,50,1731.382532
-50.0,50,1736.897159
-50.0,50,1741.807978
-50.0,50,1746.865736
-50.0,50,1753.430123
-50.0,50,1759.966754
-50.0,50,1766.084057
-8.0,9,1767.257717
0.0,1,1767.423031
-50.0,50,1773.83968
-50.0,50,1779.314573
-50.0,50,1784.31032
-1.0,2,1784.574543
-50.0,50,1790.743362
-50.0,50,1795.837146
-50.0,50,1801.628356
0.0,1,1801.738084
-50.0,50,1807.21779
-50.0,50,1811.205981
-50.0,50,1821.324315
-50.0,50,1826.894331
-50.0,50,1832.43773
-50.0,50,1838.463742
-50.0,50,1844.940139
0.0,1,1845.071794
-50.0,50,1850.71376
-3.0,4,1851.077347
-50.0,50,1856.84832
-50.0,50,1863.164054
-50.0,50,1868.624883
-50.0,50,1873.702314
-50.0,50,1878.001682
-50.0,50,1882.665637
-50.0,50,1887.108603
-50.0,50,1892.258492
-50.0,50,1898.33807
-50.0,50,1903.593122
-50.0,50,1908.829505
-50.0,50,1915.412361
-50.0,50,1921.463428
-50.0,50,1927.412264
-50.0,50,1937.739191
-1.0,2,1937.889253
-50.0,50,1943.097642
-50.0,50,1948.511523
-50.0,50,1954.177814
-50.0,50,1959.933554
-50.0,50,1966.508604
0.0,1,1966.595657
-50.0,50,1972.501848
-50.0,50,1977.527063
-50.0,50,1983.40644
-50.0,50,1988.993857
0.0,1,1989.143359
-50.0,50,1994.753835
-16.0,17,1996.260327
-50.0,50,2001.931253
-50.0,50,2008.213457
-50.0,50,2014.43127
-50.0,50,2021.275485
-50.0,50,2027.301201
-50.0,50,2032.340397
-50.0,50,2037.76573
-50.0,50,2044.354962
-50.0,50,2050.293221
-50.0,50,2060.310971
-50.0,50,2065.158456
0.0,1,2065.267378
-50.0,50,2070.916359
-50.0,50,2077.429241
-50.0,50,2083.082947
-2.0,3,2083.494776
-50.0,50,2090.026183
-50.0,50,2096.256112
-50.0,50,2101.907889
-50.0,50,2108.711063
-50.0,50,2114.990868
-50.0,50,2119.926137
-50.0,50,2126.394814
-50.0,50,2132.929889
-50.0,50,2138.665333
-50.0,50,2145.106899
-1.0,2,2145.381075
-50.0,50,2150.874053
-50.0,50,2155.621346
-50.0,50,2160.289614
-50.0,50,2166.058756
-50.0,50,2171.478269
0.0,1,2171.569393
-2.0,3,2171.859127
-50.0,50,2182.293697
-50.0,50,2187.686695
-50.0,50,2193.203646
-50.0,50,2199.610988
-50.0,50,2204.820159
-50.0,50,2210.070386
-50.0,50,2216.537659
-50.0,50,2222.323887
-50.0,50,2228.597202
-50.0,50,2233.971487
-50.0,50,2239.323131
-50.0,50,2244.957372
-50.0,50,2250.530353
0.0,1,2250.657332
-50.0,50,2256.409493
0.0,1,2256.559131
-50.0,50,2262.630456
-50.0,50,2269.236919
-50.0,50,2274.8147
-50.0,50,2280.026323
-50.0,50,2285.270893
-50.0,50,2291.122563
-50.0,50,2297.415148
-50.0,50,2306.926193
-50.0,50,2312.91888
-50.0,50,2319.296536
0.0,1,2319.42271
-50.0,50,2325.045694
-3.0,4,2325.526474
-50.0,50,2331.018702
-3.0,4,2331.558369
0.0,1,2331.732355
-50.0,50,2337.599999
-50.0,50,2343.22897
-50.0,50,2348.95904
-3.0,4,2349.547049
-50.0,50,2355.782838
-50.0,50,2362.473437
0.0,1,2362.638602
-50.0,50,2368.665231
-1.0,2,2368.929038
-50.0,50,2375.710588
-50.0,50,2381.990993
-50.0,50,2388.398846
-50.0,50,2392.315007
-1.0,2,2392.534154
-50.0,50,2398.358574
-50.0,50,2404.246058
-50.0,50,2410.715788
-50.0,50,2415.644387
-50.0,50,2420.684207
-50.0,50,2430.573716
-50.0,50,2435.540022
-50.0,50,2440.935741
0.0,1,2441.094226
-50.0,50,2446.394884
-50.0,50,2452.03877
-50.0,50,2458.530369
-50.0,50,2465.093065
-50.0,50,2471.401946
0.0,1,2471.507572
0.0,1,2471.640119
-50.0,50,2477.797822
-50.0,50,2484.070071
-50.0,50,2489.954589
-50.0,50,2495.937985
-50.0,50,2502.377089
0.0,1,2502.480099
-50.0,50,2508.700856
-50.0,50,2513.679357
-50.0,50,2518.394488
-50.0,50,2524.33216
-50.0,50,2529.389307
-50.0,50,2535.204068
-50.0,50,2540.663011
-50.0,50,2551.158142
-11.0,12,2552.61079
-50.0,50,2559.597228
0.0,1,2559.717503
-50.0,50,2565.096771
-50.0,50,2570.238984
-50.0,50,2575.463176
-50.0,50,2581.814894
-50.0,50,2588.261707
-50.0,50,2595.21503
-50.0,50,2601.753555
-50.0,50,2607.832153
-50.0,50,2613.774471
-50.0,50,2620.079763
-50.0,50,2626.5322
-50.0,50,2632.600031
-50.0,50,2639.10382
-50.0,50,2645.562293
-50.0,50,2652.066152
-50.0,50,2658.515905
-50.0,50,2664.153217
-50.0,50,2669.981213
-50.0,50,2674.937931
-50.0,50,2686.058826
-50.0,50,2692.585343
-50.0,50,2698.603937
-50.0,50,2703.733661
-50.0,50,2710.491353
-50.0,50,2716.264641
-50.0,50,2722.606743
-50.0,50,2729.185776
-50.0,50,2735.58082
-50.0,50,2740.776799
-50.0,50,2746.290988
-50.0,50,2751.805487
-50.0,50,2757.674579
-50.0,50,2763.398306
-50.0,50,2768.395677
-50.0,50,2774.438625
-50.0,50,2780.760636
-50.0,50,2786.665776
-50.0,50,2792.827489
0.0,1,2792.933491
-50.0,50,2798.569071
-50.0,50,2809.140943
-50.0,50,2815.658833
-1.0,2,2815.947284
-50.0,50,2820.329122
-4.0,5,2820.85788
-50.0,50,2827.125452
-50.0,50,2832.727265
0.0,1,2832.917794
0.0,1,2833.03361
-50.0,50,2839.922297
-50.0,50,2845.612983
-50.0,50,2851.629235
-50.0,50,2857.26229
-50.0,50,2864.166343
-50.0,50,2870.956847
-50.0,50,2877.22688
-50.0,50,2884.075598
-50.0,50,2890.900039
-50.0,50,2896.709707
-50.0,50,2902.337465
-50.0,50,2907.313546
0.0,1,2907.459197
-50.0,50,2913.337142
-50.0,50,2918.566502
-50.0,50,2924.302261
-3.0,4,2924.953761
-50.0,50,2936.754844
-50.0,50,2943.586433
-50.0,50,2949.341841
-50.0,50,2955.854052
-50.0,50,2961.020407
0.0,1,2961.122395
-50.0,50,2966.117976
-50.0,50,2972.502468
-50.0,50,2977.69952
-50.0,50,2984.516234
-50.0,50,2990.383714
-50.0,50,2995.323069
-50.0,50,3002.022351
-50.0,50,3008.742007
-50.0,50,3015.166263
-50.0,50,3021.664525
-50.0,50,3028.076393
-50.0,50,3033.590163
-50.0,50,3040.458096
-50.0,50,3047.355186
-50.0,50,3053.512043
-4.0,5,3054.103055
-50.0,50,3060.16642
0.0,1,3060.296391
-50.0,50,3072.23353
-50.0,50,3078.455409
-50.0,50,3084.645475
-50.0,50,3090.028526
-50.0,50,3094.058292
-50.0,50,3099.380299
-50.0,50,3105.111874
-50.0,50,3111.817706
-50.0,50,3117.29211
-50.0,50,3124.077157
-50.0,50,3130.762747
-50.0,50,3135.96596
0.0,1,3136.101562
-50.0,50,3143.213038
-50.0,50,3148.360859
-50.0,50,3153.309451
-50.0,50,3159.891737
-50.0,50,3166.149163
-50.0,50,3171.57607
-50.0,50,3178.233179
-50.0,50,3185.265701
0.0,1,3185.437412
-50.0,50,3197.245332
-50.0,50,3202.892713
-50.0,50,3208.660241
-50.0,50,3215.951586
-50.0,50,3222.046544
-50.0,50,3227.056755
-50.0,50,3232.640234
-50.0,50,3238.929782
-50.0,50,3246.160774
-50.0,50,3252.326219
-50.0,50,3259.113236
-50.0,50,3265.919482
-7.0,8,3267.047855
-50.0,50,3273.438188
-50.0,50,3279.362919
-50.0,50,3286.181882
-50.0,50,3290.857354
-50.0,50,3297.362349
-50.0,50,3302.934703
-50.0,50,3309.022135
-2.0,3,3309.478276
-50.0,50,3315.718073
-50.0,50,3326.680359
-50.0,50,3331.868957
-50.0,50,3336.625027
-50.0,50,3342.757987
-50.0,50,3348.706426
-50.0,50,3353.977897
-50.0,50,3359.57884
0.0,1,3359.76485
0.0,1,3359.927442
-50.0,50,3365.884312
0.0,1,3365.981342
-50.0,50,3370.611337
-50.0,50,3374.601574
-50.0,50,3380.228146
0.0,1,3380.370112
-7.0,8,3381.372989
-50.0,50,3386.631997
